Gene_acc,Gene_id,bsf,pcf,rank_bsf,rank_pcf,Desc,prot_group
32,Tb427_000014800,6.64,3.6,5289,674,"hypothetical protein, conserved",PG10
33,Tb427_070082800,6.64,3.6,5289,674,"hypothetical protein, conserved",PG10
34,Tb427_000016800,6.64,3.6,5289,674,"hypothetical protein, conserved",PG10
35,Tb427_000015100,4.83,3.62,1476,879,"Zinc finger, C3HC4 type (RING finger)/Leucine Rich Repeat, putative",PG11
36,Tb427_000015300,3.36,3.65,597,1167,"Adenylate and Guanylate cyclase catalytic domain containing protein, putative",PG12
37,Tb427_000015400,3.6,3.62,888,939,"Zinc finger, C3HC4 type (RING finger) containing protein, putative",PG13
38,Tb427_000015500,6.67,3.64,5346,1059,"Zinc finger, C3HC4 type (RING finger) containing protein, putative",PG14
39,Tb427_000015800,7.03,3.56,5854,360,"ESAG protein, putative",PG15
40,Tb427_000016000,9.78,3.57,6730,471,"Trypanosome variant surface glycoprotein (A-type), putative",PG16
41,Tb427_000016700,3.77,3.63,934,1022,"Adenylate and Guanylate cyclase catalytic domain containing protein, putative",PG17
42,Tb427_000017200,7.72,3.59,6430,637,"hypothetical protein, conserved",PG18
43,Tb427_000011800,7.72,3.59,6430,637,"hypothetical protein, conserved",PG18
44,Tb427_000162600,7.72,3.59,6430,637,"hypothetical protein, conserved",PG18
45,Tb427_000398200,7.72,3.59,6430,637,hypothetical protein,PG18
46,Tb427_000474800,7.72,3.59,6430,637,hypothetical protein,PG18
47,Tb427_000216700,7.72,3.59,6430,637,hypothetical protein,PG18
48,Tb427_000357100,7.72,3.59,6430,637,"hypothetical protein, conserved",PG18
49,Tb427_000349800,7.72,3.59,6430,637,hypothetical protein,PG18
50,Tb427_000022600,7.38,3.56,6250,352,"hypothetical protein, conserved",PG19
51,Tb427_000025200,6.67,3.58,5348,549,"hypothetical protein, conserved",PG20
52,Tb427_000027900,3.46,3.63,776,972,"Trypanosomal VSG domain containing protein, putative",PG21
53,Tb427_000064500,3.27,3.5,271,56,"Trypanosomal VSG domain/Trypanosome variant surface glycoprotein C-terminal domain containing protein, putative",PG22
54,Tb427_000081700,5.85,3.6,3502,673,"hypothetical protein, conserved",PG23
55,Tb427_000088500,5.85,3.6,3502,673,"hypothetical protein, conserved",PG23
56,Tb427_000146700,5.85,3.6,3502,673,"hypothetical protein, conserved",PG23
57,Tb427_000086200,3.28,3.58,328,528,"Trypanosomal VSG domain/Trypanosome variant surface glycoprotein C-terminal domain containing protein, putative",PG24
58,Tb427_000096000,3.26,3.63,245,1042,"Trypanosome variant surface glycoprotein (A-type), putative",PG25
59,Tb427_000107000,5.94,3.59,3739,620,"hypothetical protein, conserved",PG26
60,Tb427_000524800,5.94,3.59,3739,620,"hypothetical protein, conserved",PG26
61,Tb427_000107400,3.3,3.58,389,492,"hypothetical protein, conserved",PG27
62,Tb427_000109000,6.11,3.64,4147,1102,"hypothetical protein, conserved",PG28
63,Tb427_000109100,5.42,3.58,2439,530,"ESAG protein, putative",PG29
64,Tb427_000114000,3.41,3.57,714,417,"Trypanosome variant surface glycoprotein C-terminal domain containing protein, putative",PG30
65,Tb427_000431800,3.41,3.57,714,417,"Trypanosome variant surface glycoprotein C-terminal domain containing protein, putative",PG30
66,Tb427_000126700,3.26,5.97,214,4424,"Trypanosome variant surface glycoprotein (A-type), putative",PG31
67,Tb427_000144500,5.32,6.08,2248,4679,"Adenylate and Guanylate cyclase catalytic domain containing protein, putative",PG32
68,Tb427_000167600,5.23,3.59,2056,603,hypothetical protein,PG33
69,Tb427_000173600,5.04,3.61,1734,774,"Trypanosome variant surface glycoprotein (A-type), putative",PG34
70,Tb427_000173900,6.01,3.52,3900,118,"hypothetical protein, conserved",PG35
71,Tb427_000174700,4.98,3.57,1669,437,"Trypanosomal VSG domain containing protein, putative",PG36
72,Tb427_000174800,5.77,3.62,3287,938,"hypothetical protein, conserved",PG37
73,Tb427_000174900,3.48,3.57,804,426,"ESAG protein, putative",PG38
74,Tb427_000084100,3.48,3.57,804,426,"ESAG protein, putative",PG38
75,Tb427_090005800,5.2,3.63,2020,948,"hypothetical protein, conserved",PG39
76,Tb427_000197300,5.2,3.63,2020,948,"hypothetical protein, conserved",PG39
77,Tb427_090005600,4.94,4.51,1618,2191,"FAD binding domain/NAD(P)-binding Rossmann-like domain containing protein, putative",PG40
78,Tb427_000197500,4.94,4.51,1618,2191,"FAD binding domain/NAD(P)-binding Rossmann-like domain containing protein, putative",PG40
79,Tb427_000197800,6.27,3.88,4545,1876,"hypothetical protein, conserved",PG41
80,Tb427_090005300,6.27,3.88,4545,1876,"hypothetical protein, conserved",PG41
81,Tb427_000197900,5.64,3.69,2939,1420,"hypothetical protein, conserved",PG42
82,Tb427_090005200,5.64,3.69,2939,1420,"hypothetical protein, conserved",PG42
83,Tb427_000200700,4.71,3.54,1349,218,"Trypanosomal VSG domain containing protein, putative",PG43
84,Tb427_000502000,4.71,3.54,1349,218,"Trypanosomal VSG domain containing protein, putative",PG43
85,Tb427_000222000,6.22,5.32,4398,3021,"Retrotransposon hot spot protein, putative",PG44
86,Tb427_000661100,6.22,5.32,4398,3021,"Retrotransposon hot spot protein, putative",PG44
87,Tb427_000660400,6.22,5.32,4398,3021,"Retrotransposon hot spot protein, putative",PG44
88,Tb427_000741000,6.22,5.32,4398,3021,"Retrotransposon hot spot protein, putative",PG44
89,Tb427_000635500,6.22,5.32,4398,3021,"Retrotransposon hot spot protein, putative",PG44
90,Tb427_000275100,6.22,5.32,4398,3021,"Retrotransposon hot spot protein, putative",PG44
91,Tb427_000109500,6.22,5.32,4398,3021,"Retrotransposon hot spot protein, putative",PG44
92,Tb427_000222100,4.64,3.52,1295,135,"Retrotransposon hot spot protein, putative",PG45
93,Tb427_000246000,5.93,3.58,3683,543,"Trypanosomal VSG domain containing protein, putative",PG46
94,Tb427_000270300,4.65,3.64,1306,1067,"Retrotransposon hot spot protein, putative",PG47
95,Tb427_000744300,4.65,3.64,1306,1067,hypothetical protein,PG47
96,Tb427_000270600,5.81,5.51,3385,3396,"Retrotransposon hot spot protein, putative",PG48
97,Tb427_000270900,6.05,6.03,4021,4563,"Retrotransposon hot spot protein, putative",PG49
98,Tb427_000272000,3.13,3.65,3,1180,"Retrotransposon hot spot protein, putative",PG50
99,Tb427_000272200,6.35,5.69,4737,3746,"Retrotransposon hot spot protein, putative",PG51
100,Tb427_000807500,6.35,5.69,4737,3746,hypothetical protein,PG51
101,Tb427_000748400,6.35,5.69,4737,3746,"Retrotransposon hot spot protein, putative",PG51
102,Tb427_000272400,5.94,6.85,3733,5924,"Retrotransposon hot spot protein, putative",PG52
103,Tb427_000272700,7.1,7.32,5931,6327,"Retrotransposon hot spot protein, putative",PG53
104,Tb427_000275000,3.24,3.51,155,92,"Retrotransposon hot spot protein, putative",PG54
105,Tb427_000748500,3.24,3.51,155,92,"Retrotransposon hot spot protein, putative",PG54
106,Tb427_000689500,3.24,3.51,155,92,"Retrotransposon hot spot protein, putative",PG54
107,Tb427_000277400,3.46,4.08,779,2048,"Retrotransposon hot spot protein, putative",PG55
108,Tb427_000285500,6.16,6.69,4240,5731,"Retrotransposon hot spot protein, putative",PG56
109,Tb427_000285700,6.19,5.69,4339,3751,"Retrotransposon hot spot protein, putative",PG57
110,Tb427_000285800,6.66,6.9,5324,5984,"Retrotransposon hot spot protein, putative",PG58
111,Tb427_000688000,6.66,6.9,5324,5984,hypothetical protein,PG58
112,Tb427_000286100,5.18,3.57,1991,418,"Retrotransposon hot spot protein, putative",PG59
113,Tb427_000286500,7.02,7.06,5843,6127,"Retrotransposon hot spot protein, putative",PG60
114,Tb427_000286900,3.33,3.53,505,156,"Retrotransposon hot spot protein, putative",PG61
115,Tb427_000590200,3.28,3.64,303,1056,"Trypanosomal VSG domain containing protein, putative",PG62
116,Tb427_000296300,3.28,3.64,303,1056,"Trypanosomal VSG domain containing protein, putative",PG62
117,Tb427_000513700,3.28,3.64,303,1056,"Trypanosomal VSG domain containing protein, putative",PG62
118,Tb427_000303100,3.25,3.57,198,397,"Endonuclease-reverse transcriptase, putative",PG63
119,Tb427_000304300,5.45,3.58,2527,506,"Trypanosome variant surface glycoprotein (A-type), putative",PG64
120,Tb427_000311100,3.25,3.63,205,1035,"hypothetical protein, conserved",PG65
121,Tb427_000311600,5.2,3.55,2016,256,"hypothetical protein, conserved",PG66
122,Tb427_000332100,4.48,3.63,1151,952,"Trypanosome variant surface glycoprotein (A-type), putative",PG67
123,Tb427_000404200,5.88,3.55,3581,223,hypothetical protein,PG68
124,Tb427_000414900,4.7,3.55,1347,281,"Trypanosome variant surface glycoprotein (A-type), putative",PG69
125,Tb427_000418200,3.43,3.61,738,830,"Trypanosomal VSG domain containing protein, putative",PG70
126,Tb427_000439300,3.48,3.56,803,309,"Trypanosome variant surface glycoprotein (A-type), putative",PG71
127,Tb427_000439400,7.73,6.51,6436,5483,"Trypanosome variant surface glycoprotein (A-type)/Trypanosome variant surface glycoprotein C-terminal domain containing protein, putative",PG72
128,Tb427_000463700,3.33,3.63,516,961,"hypothetical protein, conserved",PG73
129,Tb427_000474000,3.34,3.56,546,299,"Reverse transcriptase (RNA-dependent DNA polymerase), putative",PG74
130,Tb427_000480500,4.53,3.52,1193,141,"Trypanosomal VSG domain/Trypanosome variant surface glycoprotein C-terminal domain containing protein, putative",PG75
131,Tb427_000481500,4.65,3.56,1305,363,"hypothetical protein, conserved",PG76
132,Tb427_000498000,5.44,5.15,2501,2758,"Retrotransposon hot spot protein, putative",PG77
133,Tb427_000500400,4.71,3.6,1348,670,"Trypanosomal VSG domain containing protein, putative",PG78
134,Tb427_000500700,3.2,3.56,47,313,hypothetical protein,PG79
135,Tb427_000501000,5.94,4.7,3729,2275,"Retrotransposon hot spot protein, putative",PG80
136,Tb427_000733700,5.94,4.7,3729,2275,"Retrotransposon hot spot protein, putative",PG80
137,Tb427_000706900,5.94,4.7,3729,2275,"Retrotransposon hot spot protein, putative",PG80
138,Tb427_000706600,5.94,4.7,3729,2275,"Retrotransposon hot spot protein, putative",PG80
139,Tb427_000800700,5.94,4.7,3729,2275,"Retrotransposon hot spot protein, putative",PG80
140,Tb427_000501900,6.21,3.56,4369,364,"hypothetical protein, conserved",PG81
141,Tb427_000200800,6.21,3.56,4369,364,"hypothetical protein, conserved",PG81
142,Tb427_000502300,6.02,3.53,3931,169,hypothetical protein,PG82
143,Tb427_000445400,6.02,3.53,3931,169,hypothetical protein,PG82
144,Tb427_000522500,3.25,3.47,197,16,"hypothetical protein, conserved",PG83
145,Tb427_000535600,3.28,5.16,311,2762,"Trypanosomal VSG domain containing protein, putative",PG84
146,Tb427_000553800,6.1,3.64,4122,1101,"Trypanosome variant surface glycoprotein (A-type)/Trypanosome variant surface glycoprotein C-terminal domain containing protein, putative",PG85
147,Tb427_000579000,6.2,3.58,4349,553,"hypothetical protein, conserved",PG86
148,Tb427_090093300,5.13,3.68,1906,1328,"hypothetical protein, conserved",PG87
149,Tb427_000750100,5.13,3.68,1906,1328,"hypothetical protein, conserved",PG87
150,Tb427_000579200,5.13,3.68,1906,1328,"hypothetical protein, conserved",PG87
151,Tb427_000627900,3.28,3.57,334,389,"hypothetical protein, conserved",PG88
152,Tb427_000630500,3.36,3.49,615,40,"Retrotransposon hot spot protein, putative",PG89
153,Tb427_000633200,3.23,3.53,122,174,hypothetical protein,PG90
154,Tb427_000634800,5.76,3.62,3260,922,"Trypanosomal VSG domain/Trypanosome variant surface glycoprotein C-terminal domain containing protein, putative",PG91
155,Tb427_000635700,3.2,3.58,39,552,"Retrotransposon hot spot protein, putative",PG92
156,Tb427_000637100,5.1,3.5,1842,66,"Retrotransposon hot spot protein, putative",PG93
157,Tb427_000639200,7.24,7.07,6102,6137,"Retrotransposon hot spot protein, putative",PG94
158,Tb427_000639300,6.15,5.83,4230,4093,"Retrotransposon hot spot protein, putative",PG95
159,Tb427_000639500,3.37,3.47,628,14,"Retrotransposon hot spot protein, putative",PG96
160,Tb427_000639700,6.88,6.51,5660,5487,"Retrotransposon hot spot protein, putative",PG97
161,Tb427_000642200,5.54,5.41,2722,3177,"Retrotransposon hot spot protein, putative",PG98
162,Tb427_000705000,6.77,6.53,5486,5511,"Retrotransposon hot spot protein, putative",PG99
163,Tb427_000642400,6.77,6.53,5486,5511,"Retrotransposon hot spot protein, putative",PG99
164,Tb427_000819500,4.72,3.51,1364,98,"Retrotransposon hot spot protein, putative",PG100
165,Tb427_000815600,4.72,3.51,1364,98,"Retrotransposon hot spot protein, putative",PG100
166,Tb427_000642700,4.72,3.51,1364,98,"Retrotransposon hot spot protein, putative",PG100
167,Tb427_000643000,3.26,3.61,231,859,"Retrotransposon hot spot protein, putative",PG101
168,Tb427_000774500,4.54,3.5,1199,58,"Retrotransposon hot spot protein, putative",PG102
169,Tb427_000647600,4.54,3.5,1199,58,"Retrotransposon hot spot protein, putative",PG102
170,Tb427_000773300,4.54,3.5,1199,58,"Retrotransposon hot spot protein, putative",PG102
171,Tb427_000650300,4.54,3.5,1199,58,"Retrotransposon hot spot protein, putative",PG102
172,Tb427_000646800,4.54,3.5,1199,58,"Retrotransposon hot spot protein, putative",PG102
173,Tb427_000768400,4.54,3.5,1199,58,"Retrotransposon hot spot protein, putative",PG102
174,Tb427_000767300,4.54,3.5,1199,58,"Retrotransposon hot spot protein, putative",PG102
175,Tb427_000652800,4.54,3.5,1199,58,"Retrotransposon hot spot protein, putative",PG102
176,Tb427_000654700,4.54,3.5,1199,58,"Retrotransposon hot spot protein, putative",PG102
177,Tb427_000654100,4.54,3.5,1199,58,"Retrotransposon hot spot protein, putative",PG102
178,Tb427_000815100,4.54,3.5,1199,58,"Retrotransposon hot spot protein, putative",PG102
179,Tb427_000648900,3.38,3.59,641,634,"hypothetical protein, conserved",PG103
180,Tb427_000648000,3.38,3.59,641,634,"hypothetical protein, conserved",PG103
181,Tb427_000834900,3.38,3.59,641,634,"Leucine Rich repeat, putative",PG103
182,Tb427_000816700,3.38,3.59,641,634,"hypothetical protein, conserved",PG103
183,Tb427_000778700,3.38,3.59,641,634,"hypothetical protein, conserved",PG103
184,Tb427_000838100,3.38,3.59,641,634,"hypothetical protein, conserved",PG103
185,Tb427_000652200,3.27,3.57,284,414,"hypothetical protein, conserved",PG104
186,Tb427_000655100,6.73,6.72,5434,5778,"Retrotransposon hot spot protein, putative",PG105
187,Tb427_000655200,5.72,5.6,3155,3573,"Retrotransposon hot spot protein, putative",PG106
188,Tb427_000658600,7.22,7.45,6078,6384,"Retrotransposon hot spot protein, putative",PG107
189,Tb427_000782000,7.22,7.45,6078,6384,"hypothetical protein, conserved",PG107
190,Tb427_000759600,7.22,7.45,6078,6384,"hypothetical protein, conserved",PG107
191,Tb427_000658900,5.71,3.59,3136,572,"Retrotransposon hot spot protein, putative",PG108
192,Tb427_000660200,4.73,6.77,1367,5846,"EamA-like transporter family/Solute carrier family 35, putative",PG109
193,Tb427_000740800,4.73,6.77,1367,5846,"EamA-like transporter family/Solute carrier family 35, putative",PG109
194,Tb427_000740500,4.73,6.77,1367,5846,"EamA-like transporter family, putative",PG109
195,Tb427_000661200,4.94,6.33,1619,5182,"Retrotransposon hot spot protein, putative",PG110
196,Tb427_000660500,4.94,6.33,1619,5182,"Retrotransposon hot spot protein, putative",PG110
197,Tb427_000660600,3.37,3.51,639,87,"Retrotransposon hot spot protein, putative",PG111
198,Tb427_000662100,4.76,3.61,1398,770,"Retrotransposon hot spot protein, putative",PG112
199,Tb427_000661300,4.76,3.61,1398,770,"Retrotransposon hot spot protein, putative",PG112
200,Tb427_020007400,4.95,3.62,1630,897,"hypothetical protein, conserved",PG113
201,Tb427_000668800,4.95,3.62,1630,897,"hypothetical protein, conserved",PG113
202,Tb427_000669000,4.49,3.57,1159,457,"Trypanosomal VSG domain containing protein, putative",PG114
203,Tb427_000670400,5.81,3.76,3388,1621,"Retrotransposon hot spot protein, putative",PG115
204,Tb427_000670200,5.81,3.76,3388,1621,"Retrotransposon hot spot protein, putative",PG115
205,Tb427_000838300,5.81,3.76,3388,1621,"Retrotransposon hot spot protein, putative",PG115
206,Tb427_070024400,5.81,3.76,3388,1621,"Retrotransposon hot spot protein, putative",PG115
207,Tb427_000821300,5.81,3.76,3388,1621,"Retrotransposon hot spot protein, putative",PG115
208,Tb427_070024500,5.81,3.76,3388,1621,"hypothetical protein, conserved",PG115
209,Tb427_000821600,5.81,3.76,3388,1621,"hypothetical protein, conserved",PG115
210,Tb427_000671500,3.45,3.62,765,877,"Retrotransposon hot spot protein, putative",PG116
211,Tb427_000674300,5.47,3.55,2573,288,hypothetical protein,PG117
212,Tb427_000677700,5.14,3.62,1921,918,"Retrotransposon hot spot protein, putative",PG118
213,Tb427_000678000,7.58,7.54,6376,6444,"Retrotransposon hot spot protein, putative",PG119
214,Tb427_000774900,7.58,7.54,6376,6444,"Retrotransposon hot spot protein, putative",PG119
215,Tb427_000690800,3.91,3.63,952,976,"Retrotransposon hot spot protein, putative",PG120
216,Tb427_000695600,3.43,3.47,740,12,"Retrotransposon hot spot protein, putative",PG121
217,Tb427_000693600,3.43,3.47,740,12,"Retrotransposon hot spot protein, putative",PG121
218,Tb427_000695800,4.89,3.52,1538,124,"Retrotransposon hot spot protein, putative",PG122
219,Tb427_000746800,3.38,3.56,662,292,"Retrotransposon hot spot protein/Endonuclease-reverse transcriptase/Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H, putative",PG123
220,Tb427_000699400,3.38,3.56,662,292,"Retrotransposon hot spot protein/Endonuclease-reverse transcriptase/Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H, putative",PG123
221,Tb427_000699700,5.41,3.65,2426,1157,"Retrotransposon hot spot protein, putative",PG124
222,Tb427_000701600,6.52,6.28,5085,5088,"Retrotransposon hot spot protein, putative",PG125
223,Tb427_000770000,6.52,6.28,5085,5088,hypothetical protein,PG125
224,Tb427_000702600,6.28,5.87,4575,4198,"Retrotransposon hot spot protein, putative",PG126
225,Tb427_000703900,3.5,5.57,828,3510,"Retrotransposon hot spot protein, putative",PG127
226,Tb427_000704700,5.83,5.57,3443,3505,"Retrotransposon hot spot protein, putative",PG128
227,Tb427_000707000,5.78,3.56,3311,319,"Retrotransposon hot spot protein, putative",PG129
228,Tb427_000673800,5.78,3.56,3311,319,"Retrotransposon hot spot protein, putative",PG129
229,Tb427_000711800,3.33,3.98,501,1984,"Retrotransposon hot spot protein, putative",PG130
230,Tb427_000712700,4.54,3.59,1202,611,"Retrotransposon hot spot protein, putative",PG131
231,Tb427_000759100,4.54,3.59,1202,611,hypothetical protein,PG131
232,Tb427_000758100,3.33,3.58,499,542,"Protein of unknown function (DUF2974), putative",PG132
233,Tb427_000712900,3.33,3.58,499,542,"Protein of unknown function (DUF2974), putative",PG132
234,Tb427_000806500,3.33,3.58,499,542,"Protein of unknown function (DUF2974), putative",PG132
235,Tb427_000784100,3.33,3.58,499,542,"Protein of unknown function (DUF2974), putative",PG132
236,Tb427_000743800,3.33,3.58,499,542,"Protein of unknown function (DUF2974), putative",PG132
237,Tb427_000743300,3.33,3.58,499,542,"Protein of unknown function (DUF2974), putative",PG132
238,Tb427_000713200,6.69,6.54,5380,5540,"Retrotransposon hot spot protein, putative",PG133
239,Tb427_000734000,6.69,6.54,5380,5540,"Retrotransposon hot spot protein, putative",PG133
240,Tb427_000784700,6.69,6.54,5380,5540,"Retrotransposon hot spot protein, putative",PG133
241,Tb427_000714100,5.41,3.56,2429,337,"Retrotransposon hot spot protein, putative",PG134
242,Tb427_000757200,5.41,3.56,2429,337,"Retrotransposon hot spot protein, putative",PG134
243,Tb427_000680600,5.41,3.56,2429,337,"Retrotransposon hot spot protein, putative",PG134
244,Tb427_000718300,3.45,3.58,761,517,"Trypanosome variant surface glycoprotein (A-type), putative",PG135
245,Tb427_000721400,6.95,7.13,5771,6187,"Retrotransposon hot spot protein, putative",PG136
246,Tb427_000728500,5.2,3.62,2007,864,"Adenylate and Guanylate cyclase catalytic domain containing protein, putative",PG137
247,Tb427_080085100,6.2,3.52,4357,138,"Adenylate and Guanylate cyclase catalytic domain containing protein, putative",PG138
248,Tb427_000728700,6.2,3.52,4357,138,"Adenylate and Guanylate cyclase catalytic domain containing protein, putative",PG138
249,Tb427_000735300,7.62,7.77,6397,6553,"Retrotransposon hot spot protein, putative",PG139
250,Tb427_000735600,7.24,7.1,6107,6159,"Retrotransposon hot spot protein, putative",PG140
251,Tb427_000737600,5.45,4.4,2526,2154,"Retrotransposon hot spot protein, putative",PG141
252,Tb427_000738200,5.28,3.59,2166,573,"Retrotransposon hot spot protein, putative",PG142
253,Tb427_000737800,5.28,3.59,2166,573,"Retrotransposon hot spot protein, putative",PG142
254,Tb427_000738600,3.3,4.7,412,2278,"Retrotransposon hot spot protein, putative",PG143
255,Tb427_000741100,5.34,5.38,2279,3131,"Retrotransposon hot spot protein, putative",PG144
256,Tb427_000786300,4.31,3.61,1067,789,"Retrotransposon hot spot protein, putative",PG145
257,Tb427_000742200,4.31,3.61,1067,789,"Retrotransposon hot spot protein, putative",PG145
258,Tb427_000746700,6.35,6.64,4716,5665,"Retrotransposon hot spot protein, putative",PG146
259,Tb427_000699300,6.35,6.64,4716,5665,"Retrotransposon hot spot protein, putative",PG146
260,Tb427_000699200,6.35,6.64,4716,5665,hypothetical protein,PG146
261,Tb427_000749900,6.38,3.63,4774,1028,"hypothetical protein, conserved",PG147
262,Tb427_000748700,6.38,3.63,4774,1028,"hypothetical protein, conserved",PG147
263,Tb427_000748900,6.81,3.61,5545,825,"hypothetical protein, conserved",PG148
264,Tb427_090093000,6.81,3.61,5545,825,"hypothetical protein, conserved",PG148
265,Tb427_000749700,6.81,3.61,5545,825,hypothetical protein,PG148
266,Tb427_000749000,6.1,3.6,4135,682,hypothetical protein,PG149
267,Tb427_000749600,5.15,3.68,1936,1335,hypothetical protein,PG150
268,Tb427_000754800,6.98,6.5,5801,5473,"Retrotransposon hot spot protein, putative",PG151
269,Tb427_000755300,6.66,5.37,5325,3100,"Retrotransposon hot spot protein, putative",PG152
270,Tb427_000755500,4.73,3.58,1373,539,"Retrotransposon hot spot protein, putative",PG153
271,Tb427_000755900,6.09,5.05,4111,2616,"Retrotransposon hot spot protein, putative",PG154
272,Tb427_000756200,6.26,6.18,4496,4913,"Retrotransposon hot spot protein, putative",PG155
273,Tb427_000757800,6.24,3.61,4443,766,"Retrotransposon hot spot protein, putative",PG156
274,Tb427_000758700,5.56,3.6,2760,657,"Retrotransposon hot spot protein, putative",PG157
275,Tb427_000758300,5.56,3.6,2760,657,"Retrotransposon hot spot protein, putative",PG157
276,Tb427_000763000,4.57,3.54,1233,199,"Retrotransposon hot spot protein, putative",PG158
277,Tb427_000763100,4.87,3.66,1521,1223,"Retrotransposon hot spot protein, putative",PG159
278,Tb427_000756700,4.87,3.66,1521,1223,"Retrotransposon hot spot protein, putative",PG159
279,Tb427_000764100,4.54,3.68,1200,1332,"Retrotransposon hot spot protein, putative",PG160
280,Tb427_000815200,5.66,5.11,2975,2705,"Retrotransposon hot spot protein, putative",PG161
281,Tb427_000764400,5.66,5.11,2975,2705,"Retrotransposon hot spot protein, putative",PG161
282,Tb427_000764700,6.31,6.71,4636,5762,"Retrotransposon hot spot protein, putative",PG162
283,Tb427_000765300,3.28,5.94,324,4366,"Retrotransposon hot spot protein, putative",PG163
284,Tb427_000765000,3.28,5.94,324,4366,"Retrotransposon hot spot protein, putative",PG163
285,Tb427_000765500,5.22,3.58,2050,497,"Retrotransposon hot spot protein, putative",PG164
286,Tb427_000770100,5.53,3.58,2689,555,hypothetical protein,PG165
287,Tb427_000810900,3.3,4.28,406,2129,"Periplasmic binding protein/Adenylate and Guanylate cyclase catalytic domain containing protein, putative",PG166
288,Tb427_000776300,3.3,4.28,406,2129,"Periplasmic binding protein/Adenylate and Guanylate cyclase catalytic domain containing protein, putative",PG166
289,Tb427_000778200,3.26,3.62,238,921,"hypothetical protein, conserved",PG167
290,Tb427_000816600,3.26,3.62,238,921,"hypothetical protein, conserved",PG167
291,Tb427_000778800,3.26,3.62,238,921,"hypothetical protein, conserved",PG167
292,Tb427_000783600,5.65,4.79,2961,2335,"Retrotransposon hot spot protein, putative",PG168
293,Tb427_000777100,5.65,4.79,2961,2335,"Retrotransposon hot spot protein, putative",PG168
294,Tb427_000815000,5.65,4.79,2961,2335,"Retrotransposon hot spot protein, putative",PG168
295,Tb427_000783900,3.4,3.62,697,913,"Retrotransposon hot spot protein, putative",PG169
296,Tb427_000789800,3.41,3.63,723,1007,"Retrotransposon hot spot protein, putative",PG170
297,Tb427_000787200,3.41,3.63,723,1007,"Retrotransposon hot spot protein, putative",PG170
298,Tb427_000787500,3.33,3.55,491,260,hypothetical protein,PG171
299,Tb427_000769900,3.33,3.55,491,260,hypothetical protein,PG171
